鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
羅東鎮,土地,東安段1153-27地號,31.0,住,,,1060310,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,46774,,0.0,0,,RPVOMLTLLHMFFAG09CA,0.0,0.0,0.0,,
蘇澳鎮,土地,蘇港段53地號,126.61,商,,,1060214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5090000,40202,,0.0,0,,RPVNMLLMLHMFFAG28CA,0.0,0.0,0.0,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段８７號,69.88,,特定農業區,甲種建築用地,1060308,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0700216,155.52,6,2,3,有,無,5850000,37616,,0.0,0,有增建約10坪,RPROMLLMLHMFFAG97CA,155.52,0.0,0.0,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市女中路三段72號,22.59,住,,,1060310,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840622,119.88999999999999,3,2,2,有,有,6300000,52548,坡道機械,0.0,0,,RPTOMLKMLHMFFBG18CA,83.3,6.77,0.0,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民族路525巷43弄6號六樓,36.4,住,,,1060310,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821119,145.52,3,2,2,有,有,5150000,35390,一樓平面,0.0,0,,RPUOMLKMLHMFFBG28CA,96.8,0.0,12.49,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉玉石路４０之５２號,89.0,,鄉村區,乙種建築用地,1060208,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700608,105.06,4,2,3,有,無,8500000,80906,,0.0,0,,RPQOMLKMLHMFFBG87CA,105.06,0.0,0.0,,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新南路四段７０巷６弄１３號,91.61,,特定農業區,甲種建築用地,1060317,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0850122,184.69,5,2,4,有,無,5180000,28047,,0.0,0,,RPOOMLPJMHMFFBG97CA,176.76,2.43,5.5,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路２１５號三樓之五,7.55,住,,,1060317,土地1建物1車位0,三層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950921,48.22,1,1,1,有,有,3900000,80879,,0.0,0,,RPRNMLKKMHMFFBG77CA,26.13,0.0,4.12,,
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉健康路６８號九樓之一,19.78,其他,,,1060214,土地1建物1車位1,九層,十二層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1040213,134.3,0,0,0,無,有,16000000,138916,坡道平面,30.64,1600000,,RPOOMLNKMHMFFBG87CA,50.03,0.0,7.29,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路１０１號十二樓之一,10.23,住,,,1060313,土地6建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890427,81.38,2,2,1,有,有,4900000,60211,,0.0,0,,RPRNMLNKMHMFFBG08CA,0.0,0.0,0.0,,
礁溪鄉,建物,宜蘭縣礁溪鄉大坡路１９２號,0.0,,,,1051201,土地0建物1車位0,一層,一層,其他,見其他登記事項,鋼筋混凝土加強磚造,0610408,25.34,0,0,0,無,無,11700,462,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLPJMHMFFBG18CA,25.34,0.0,0.0,,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路３４巷３０之６號六樓,42.61,住,,,1060310,土地1建物1車位1,六層，七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840410,222.03000000000003,4,2,3,有,有,6300000,28375,坡道平面,0.0,0,,RPSNMLQJMHMFFBG38CA,127.0,0.0,14.83,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市泰山路８６巷４弄５５之３號,36.07,住,,,1060301,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700819,86.46000000000001,3,2,2,有,無,2250000,26024,,0.0,0,,RPRNMLPJMHMFFBG18CA,72.42,0.0,0.0,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市三清路１１６巷３０號,120.08,住,,,1060122,土地3建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,0970828,311.18,6,2,4,有,有,15600000,50132,,0.0,0,,RPTOMLOKMHMFFBG48CA,253.5,0.0,29.47,,
員山鄉,土地,成功段96地號,1893.97,,特定農業區,農牧用地,1060215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7397506,3906,,0.0,0,本買賣案件係屬二親等間特殊交易，其交易價格可能異於市場正常交易價格,RPWOMLNKMHMFFBG68CA,0.0,0.0,0.0,,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市西後街１１８巷１０號,113.91,商,,,1060301,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1030904,241.9,5,2,4,有,無,15600000,64489,,0.0,0,,RPWNMLOKMHMFFBG68CA,240.53,0.0,1.37,,
冬山鄉,土地,大埤段1237地號,8896.29,其他,,,1060317,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,2473,,0.0,0,,RPSNMLPJMHMFFAG18CA,0.0,0.0,0.0,,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉梅花路５４巷１５號,160.67,,特定農業區,甲種建築用地,1060303,土地4建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670720,112.52,4,2,3,有,無,4450000,39549,,0.0,0,一樓空地增建及三樓鐵皮加蓋,RPPOMLLMLHMFFAG77CA,112.52,0.0,0.0,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大眾路４３之２３號,62.23,,特定農業區,甲種建築用地,1060304,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840523,121.87,3,2,3,有,無,4750000,38976,,0.0,0,所有權人2人各持分2分之1一樓空地增建約2~3坪,RPQOMLLMLHMFFAG87CA,112.74,7.21,1.92,,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮羅莊街１５號,135.93,,特定農業區,甲種建築用地,1050809,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0520630,62.89,2,1,1,有,無,5710000,90793,,0.0,0,本買賣價款含另一筆農地尚未移轉，面積245.53平方公尺,RPVOMLOLMHMFFAG68CA,62.89,0.0,0.0,,
