編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLQJRHOFFCU38CA,37,143.50,人行、店舖、住宅,鋼筋混凝土加強磚造,71年2月20日,二層,一層 二層 陽台 屋頂突出物 騎樓
RPTOMLPKQHOFFAU87CA,26,154.54,住家用,鋼筋混凝土造,82年10月29日,三層,一層 二層 三層 陽台
RPUOMLTKQHOFFAU38CA,3,275.12,住家用,鋼筋混凝土造,105年2月19日,四層,一層 二層 三層 四層 陽台
RPVOMLLLQHOFFAU77CA,27,98.00,住家用,鋼筋混凝土造,81年11月20日,五層,二層 陽台
RPVOMLLLQHOFFAU77CA,27,6.28,共有部份,鋼筋混凝土造,81年11月20日,五層,
RPVOMLLLQHOFFAU77CA,27,1.22,共有部份,鋼筋混凝土造,81年11月20日,五層,
RPVOMLLLQHOFFAU77CA,27,16.36,共有部份,鋼筋混凝土造,81年11月20日,五層,
RPTOMLTKQHOFFAU28CA,2,270.89,住家用,鋼筋混凝土造,106年2月2日,四層,一層 二層 三層 四層 陽台
RPROMLTKQHOFFAU08CA,12,230.98,住家用,鋼筋混凝土造,96年4月25日,四層,一層 二層 三層 四層 陽台
RPTOMLKLQHOFFAU47CA,46,120.06,住家用,鋼筋混凝土造,62年5月21日,二層,一層 二層 騎樓
RPXNMLLLQHOFFAU87CA,1,53.05,集合住宅,鋼筋混凝土造,107年4月27日,十二層,七層 陽台
RPXNMLLLQHOFFAU87CA,1,12.09,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,
RPXNMLLLQHOFFAU87CA,1,15.67,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPQOMLKLQHOFFAU17CA,29,126.25,住家用,鋼筋混凝土造,79年8月27日,二層,一層 二層 陽台 屋頂突出物
RPQNMLMJRHOFFAU17CA,29,406.06,住商用,鋼筋混凝土造,78年10月30日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPTOMLQLQHOFFAU08CA,35,112.43,住家用,鋼筋混凝土加強磚造,74年1月1日,二層,一層 二層
RPROMLQLQHOFFAU87CA,31,46.13,住家用,鋼筋混凝土造,77年2月8日,六層,五層 陽台
RPROMLQLQHOFFAU87CA,31,13.44,共有部份,鋼筋混凝土造,77年2月8日,六層,
RPRNMLLLQHOFFCU47CA,86,136.23,住家用,木造,23年1月1日,一層,一層
RPPNMLRLQHOFFAU67CA,20,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層 陽台 雨遮
RPPNMLRLQHOFFAU67CA,20,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPPNMLRLQHOFFAU67CA,20,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPWNMLLKRHOFFAU77CA,38,109.66,住商用,鋼筋混凝土加強磚造,70年1月29日,二層,一層 二層 騎樓
RPOPMLRLQHOFFAU77CA,43,96.11,住商用,鋼筋混凝土造,66年1月8日,二層,一層 二層 騎樓
RPSNMLMJRHOFFAU37CA,35,99.23,住家用,鋼筋混凝土加強磚造,73年12月11日,二層,一層 二層
RPQNMLLMQHOFFAU27CA,29,249.07,住商用,鋼筋混凝土造,79年2月8日,四層,一層 二層 三層 四層 陽台 騎樓
RPVNMLTKQHOFFAU38CA,24,104.28,住家用,鋼筋混凝土造,84年3月21日,十三層,七層 陽台 花台
RPVNMLTKQHOFFAU38CA,24,11.53,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPVNMLTKQHOFFAU38CA,24,12.20,共有部份,鋼筋混凝土造,84年3月21日,十三層,
RPUOMLLLQHOFFAU67CA,39,86.54,住家用,鋼筋混凝土加強磚造,69年4月4日,二層,一層 二層
RPTOMLLLQHOFFAU57CA,26,84.97,住家用,鋼筋混凝土造,82年6月18日,六層,四層 陽台
RPTOMLLLQHOFFAU57CA,26,19.36,共有部份,鋼筋混凝土造,82年6月18日,六層,
RPVOMLTKQHOFFAU48CA,24,159.04,住家用,鋼筋混凝土造,84年6月30日,三層,一層 二層 三層 陽台 平台
RPRNMLNLQHOFFAU47CA,23,29.85,住家用,鋼筋混凝土造,85年10月29日,十六層,十層 陽台
RPRNMLNLQHOFFAU47CA,23,21.70,停車空間,鋼筋混凝土造,85年10月29日,十六層,
RPRNMLNLQHOFFAU47CA,23,7.55,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPRNMLNLQHOFFAU47CA,23,4.94,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPQPMLLLQHOFFAU37CA,1,53.00,集合住宅,鋼筋混凝土造,107年4月27日,十二層,六層 陽台
RPQPMLLLQHOFFAU37CA,1,12.04,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,
RPQPMLLLQHOFFAU37CA,1,15.66,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPSPMLLLQHOFFAU57CA,1,53.00,集合住宅,鋼筋混凝土造,107年4月27日,十二層,五層 陽台
RPSPMLLLQHOFFAU57CA,1,46.94,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,
RPSPMLLLQHOFFAU57CA,1,15.66,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPQNMLLLQHOFFAU17CA,33,24.20,商業用,鋼筋混凝土造,75年7月12日,五層,二層 陽台
RPQNMLLLQHOFFAU17CA,33,5.59,共有部份,鋼筋混凝土造,75年7月12日,五層,
RPWPMLLLQHOFFAU97CA,42,47.22,住家用,鋼筋混凝土加強磚造,66年9月29日,二層,一層 二層
RPOOMLLLQHOFFAU07CA,,74.06,集合住宅,鋼筋混凝土造,108年3月26日,七層,七層 陽台
RPOOMLLLQHOFFAU07CA,,28.40,本共有部分之項目有停車空間、機電設備空間、樓梯間、電梯間及升降設備機房等５項,鋼筋混凝土造,108年3月26日,七層,
RPOOMLLLQHOFFAU07CA,,13.75,共有部份（停車空間）,鋼筋混凝土造,108年3月26日,七層,
RPWOMLLLQHOFFAU87CA,20,115.80,住家用,鋼筋混凝土造,88年4月14日,五層,五層 陽台 雨遮
RPPNMLLLQHOFFAU07CA,3,232.70,住家用,鋼筋混凝土造,105年9月2日,四層,一層 二層 三層 四層 陽台 騎樓
RPWOMLLLQHOFFAU87CA,20,14.80,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPWOMLLLQHOFFAU87CA,20,9.42,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPUNMLMLQHOFFAU67CA,39,92.44,住家用,鋼筋混凝土加強磚造,69年12月8日,二層,一層 二層
RPQOMLMLQHOFFAU37CA,34,59.97,住家用,鋼筋混凝土加強磚造,75年1月15日,二層,一層 二層 屋頂突出物 騎樓
RPUNMLMJRHOFFAU57CA,1,232.73,住家用,鋼筋混凝土造,107年9月4日,三層,一層 二層 三層 陽台 屋頂突出物 見其他登記事項
RPSNMLLLQHOFFAU37CA,30,272.46,住家用,鋼筋混凝土造,78年5月1日,二層,一層 二層 屋頂突出物
RPXNMLQLQHOFFAU38CA,24,53.83,住家用,鋼筋混凝土造,84年11月4日,十層,八層 陽台
RPXNMLQLQHOFFAU38CA,24,9.69,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPXNMLQLQHOFFAU38CA,24,11.84,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPSOMLQLQHOFFAU97CA,26,63.52,住家用,鋼筋混凝土造,82年12月15日,六層,三層 陽台
RPSOMLQLQHOFFAU97CA,26,13.88,共有部份,,82年12月15日,六層,
RPSOMLQLQHOFFAU97CA,26,9.58,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPQOMLQLQHOFFAU77CA,1,21.27,集合住宅,鋼筋混凝土造,107年6月22日,五層,三層 陽台
RPQOMLQLQHOFFAU77CA,1,15.30,共有部份,鋼筋混凝土造,107年6月22日,五層,
RPXNMLTLQHOFFAU68CA,6,60.27,商業用,鋼鐵造有牆,102年10月15日,一層,一層
RPUOMLRLQHOFFAU28CA,42,122.13,住家用,鋼筋混凝土加強磚造,66年8月31日,一層,一層 陽台
RPWOMLRLQHOFFAU48CA,39,81.60,住家用,鋼筋混凝土加強磚造,69年12月23日,二層,一層 二層
RPVNMLMLQHOFFAU77CA,3,286.99,住家用,鋼筋混凝土造,106年1月11日,三層,一層 二層 三層 陽台 屋頂突出物
RPVOMLRLQHOFFAU38CA,49,123.16,住家用,鋼筋混凝土造,59年10月21日,二層,一層 二層 騎樓
RPRPMLRLQHOFFAU08CA,36,93.39,住商用,鋼筋混凝土加強磚造,72年12月10日,二層,一層 二層 騎樓
RPQNMLQLQHOFFAU67CA,41,122.85,住商用,鋼筋混凝土加強磚造,67年4月24日,二層,一層 二層 騎樓
RPTPMLLLQHOFFAU67CA,27,155.81,住家用,鋼筋混凝土造,81年5月6日,二層,一層 二層 陽台 屋頂突出物
RPUPMLLLQHOFFAU77CA,25,37.54,住家用,鋼筋混凝土造,83年5月18日,六層,四層 陽台
RPUPMLLLQHOFFAU77CA,25,16.68,共有部份,鋼筋混凝土造,83年5月18日,六層,
RPPPMLKKRHOFFAU17CA,33,118.03,住商用,鋼筋混凝土造,75年7月18日,二層,一層 二層 屋頂突出物 騎樓
RPWNMLQLQHOFFAU28CA,25,37.54,住家用,鋼筋混凝土造,83年5月18日,六層,六層 陽台
RPWNMLQLQHOFFAU28CA,25,16.68,共有部份,鋼筋混凝土造,83年5月18日,六層,
RPUNMLQLQHOFFAU08CA,17,100.48,住家用,鋼筋混凝土造,91年11月21日,十一層,二層 陽台
RPUNMLQLQHOFFAU08CA,17,66.88,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPVOMLNLQHOFFAU97CA,21,89.28,住家用,鋼筋混凝土造,87年4月3日,十層,六層 陽台
RPVOMLNLQHOFFAU97CA,21,17.25,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPVOMLNLQHOFFAU97CA,21,9.23,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPVOMLNLQHOFFAU97CA,21,8.45,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPPNMLSLQHOFFAU77CA,34,96.80,住家用,鋼筋混凝土造,74年10月18日,二層,一層 二層 陽台
RPXNMLRLQHOFFAU48CA,27,25.90,住家用,鋼筋混凝土造,81年12月9日,五層,四層 陽台
RPXNMLRLQHOFFAU48CA,27,6.28,共有部份,鋼筋混凝土造,81年12月9日,五層,
RPSNMLSLQHOFFAU08CA,25,24.01,住家用,鋼筋混凝土造,83年4月14日,六層,五層 花台
RPSNMLSLQHOFFAU08CA,25,8.48,共有部份,鋼筋混凝土造,83年4月14日,六層,
RPTNMLTLQHOFFAU28CA,47,85.87,住家用,鋼筋混凝土加強磚造,61年7月31日,一層,一層 騎樓
RPPOMLRLQHOFFAU77CA,25,30.28,商業用,鋼筋混凝土造,83年6月30日,十二層,七層 陽台
RPPOMLRLQHOFFAU77CA,25,4.79,共有部份,鋼筋混凝土造,83年6月30日,十二層,
RPPOMLRLQHOFFAU77CA,25,7.83,共有部份,鋼筋混凝土造,83年6月30日,十二層,
RPQOMLRLQHOFFAU87CA,21,110.09,住家用,鋼筋混凝土造,87年4月3日,十層,五層 陽台
RPQOMLRLQHOFFAU87CA,21,13.96,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPQOMLRLQHOFFAU87CA,21,17.25,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPQOMLRLQHOFFAU87CA,21,16.90,共有部份,鋼筋混凝土造,87年4月3日,十層,
RPWQMLQJRHOFFAU48CA,20,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,二層 三層 陽台 平台 雨遮
RPWQMLQJRHOFFAU48CA,20,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPWQMLQJRHOFFAU48CA,20,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPXOMLMJRHOFFAU97CA,25,60.59,住家用,鋼筋混凝土造,83年3月26日,六層,六層 陽台
RPXOMLMJRHOFFAU97CA,25,28.77,共有部份,鋼筋混凝土造,83年3月26日,六層,
RPXNMLKMQHOFFAU87CA,34,86.13,住家用,鋼筋混凝土造,74年11月29日,五層,五層 陽台
RPXNMLKMQHOFFAU87CA,34,13.79,共有部份,鋼筋混凝土造,74年11月29日,五層,
RPVNMLRLQHOFFAU28CA,24,67.42,住家用,鋼筋混凝土造,84年11月4日,十一層,八層 陽台
RPVNMLRLQHOFFAU28CA,24,10.18,共有部份,鋼筋混凝土造,84年11月4日,十一層,
RPVNMLRLQHOFFAU28CA,24,15.11,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPWNMLRLQHOFFAU38CA,46,80.50,住家用,鋼筋混凝土加強磚造,62年8月28日,二層,一層 二層
RPPNMLTLQHOFFAU87CA,,17.02,住家用,磚木造及木造,,一層,一層 騎樓
RPUOMLQLQHOFFAU18CA,25,81.21,住家用,鋼筋混凝土造,83年3月18日,七層,五層 陽台
RPUOMLQLQHOFFAU18CA,25,22.04,共有部份,鋼筋混凝土造,83年3月18日,七層,
RPWOMLNLQHOFFAU08CA,34,108.24,住家用,鋼筋混凝土造,74年3月21日,二層,一層 二層
RPOPMLKKRHOFFAU07CA,25,14.66,共有部份,鋼筋混凝土造,82年12月15日,六層,
RPOPMLKKRHOFFAU07CA,25,99.46,住家用,鋼筋混凝土造,82年12月15日,六層,六層 陽台
RPOPMLKKRHOFFAU07CA,25,15.65,共有部份,鋼筋混凝土造,82年12月15日,七層,
RPSNMLRLQHOFFAU97CA,46,88.66,住家用,鋼筋混凝土加強磚造,62年8月28日,二層,一層 二層
RPTNMLRLQHOFFAU08CA,47,91.26,住家用,鋼筋混凝土加強磚造,61年7月24日,二層,一層 二層
RPPNMLNJRHOFFAU17CA,42,44.16,住家用,磚造,66年7月1日,一層,一層
RPSNMLNJRHOFFAU67EA,38,107.72,住商用,鋼筋混凝土加強磚造,69年12月4日,二層,一層 二層 騎樓
RPXNMLNJRHOFFAU97CA,31,69.91,住家用,鋼筋混凝土造,77年11月25日,五層,三層 陽台
RPXNMLNJRHOFFAU97CA,31,4.54,共有部份,鋼筋混凝土造,77年11月25日,五層,
RPTPMLMJRHOFFAU67CA,47,51.43,住家用,水泥磚蓋鐵皮,61年2月26日,一層,一層 騎樓
RPSNMLKMQHOFFAU37CA,21,.46,住家用,鋼筋混凝土造,87年10月9日,五層,一層 陽台
RPSNMLKMQHOFFAU37CA,21,.07,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPSNMLKMQHOFFAU37CA,21,.14,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPSNMLKMQHOFFAU37CA,21,14.27,共有部份,鋼筋混凝土造,87年10月9日,五層,
RPSNMLKMQHOFFAU37CA,21,29.48,共有部份,鋼筋混凝土造,87年10月9日,五層,
