鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,房地(土地+建物),基隆市信義區孝東路122號4樓,14.24,住,,,1051213,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,103.18,2,2,1,有,無,6200000,60089,,0.0,0,,RPWPMLKMKIOFFBC48CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路142號4樓,24.5,住,,,1051204,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,202.58,3,2,2,有,無,9700000,51915,坡道平面,35.96,1050000,,RPXPMLKMKIOFFBC58CB
信義區,房地(土地+建物),基隆市信義區孝東路126號11樓,13.96,住,,,1051229,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,103.63,2,2,1,有,無,6650000,64171,,0.0,0,,RPOQMLKMKIOFFBC77CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路142-1號4樓,26.78,住,,,1051214,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,218.16,4,2,2,有,無,10420000,51427,坡道平面,35.96,1050000,,RPPQMLKMKIOFFBC87CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路148號9樓,27.06,住,,,1051209,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,247.58,4,2,2,有,無,12680000,58367,坡道平面,67.17,2150000,,RPRQMLKMKIOFFBC08CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路146-3號4樓,24.5,住,,,1051204,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,201.67,3,2,2,有,無,9300000,49786,坡道平面,35.96,1050000,,RPSQMLKMKIOFFBC18CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路142-2號11樓,24.21,住,,,1051215,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,200.11,3,2,2,有,無,10590000,57204,坡道平面,35.96,1200000,,RPTQMLKMKIOFFBC28CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路146-3號7樓,24.5,住,,,1051210,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,196.92,3,2,2,有,無,9690000,52743,坡道平面,31.21,950000,,RPUQMLKMKIOFFBC38CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路142號9樓,24.5,住,,,1051203,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,197.83,3,2,2,有,無,10650000,58216,坡道平面,31.21,950000,,RPQNMLLJJHPFFBC37CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路142-2號5樓,24.21,住,,,1051210,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,200.11,3,2,2,有,無,9700000,51782,坡道平面,35.96,1200000,,RPRNMLLJJHPFFBC47CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路148-2號10樓,27.92,住,,,1051202,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,224.66,4,2,2,有,無,12180000,58188,坡道平面,35.96,1200000,,RPQNMLMJJHPFFBC47CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路140-3號3樓,20.8,住,,,1051203,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,175.63,3,2,2,有,無,8000000,49162,坡道平面,31.21,900000,,RPRNMLMJJHPFFBC57CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路148-2號9樓,27.92,住,,,1051215,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,224.66,4,2,2,有,無,12000000,57234,坡道平面,35.96,1200000,,RPTNMLMJJHPFFBC77CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路140-2號4樓,20.8,住,,,1051230,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.4,3,2,2,有,無,8050000,49587,坡道平面,31.21,900000,,RPUNMLMJJHPFFBC87CB
