鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大園區,房地(土地+建物),桃園市大園區三民路2段562巷33弄15號,47.95,住,,,1070713,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0821126,208.84,0,0,0,無,無,無,15250,73,,0.0,0,,RPPNMLMKQHNFFEH88CC
大園區,房地(土地+建物),桃園市大園區三民路2段562巷33弄15號,47.95,住,,,1070713,土地1建物1車位0,全,44,透天厝,見其他登記事項,鋼筋混凝土造,0821126,71.04,0,0,0,無,無,無,15250,215,,0.0,0,,RPQNMLMKQHNFFEH98CC
蘆竹區,建物,桃園市蘆竹區南山路1段153號4樓,10.43,工,,,1070802,土地0建物1車位0,四層,18,其他,見其他登記事項,鋼筋混凝土造,1040713,108.91,2,1,1,有,有,無,14500,133,,0.0,0,含管理費、稅金或水電等費用。；含管理費 主要用途自由職業事務所,RPWOMLNKQHNFFEH17CC
中壢區,建物,桃園市中壢區富村街３０巷２０號十三樓,0.0,住,,,1070721,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850726,108.49,3,2,2,有,有,無,15000,138,,0.0,0,,RPPNMLNKQHNFFBH68CC
八德區,房地(土地+建物)+車位,桃園市八德區國際路４６號,15.98,住,,,1070808,土地1建物1車位1,一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001207,125.52,2,2,2,有,有,無,30000,239,坡道平面,30.2,0,,RPQOMLNKQHNFFFH76DC
龜山區,房地(土地+建物)+車位,桃園市龜山區自強東路230號,22.52,商,,,1070721,土地1建物1車位1,一層,13,店面(店鋪),商業用,鋼筋混凝土造,1030403,170.36,0,0,0,無,有,無,28350,166,坡道平面,24.86,0,,RPUNMLNKQHNFFHH27DC
桃園區,房地(土地+建物),桃園市桃園區新埔八街99號,73.0,住,,,1070725,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0841230,353.5,5,3,5,有,無,無,50000,141,,0.0,0,107年7月25日~107年9月1日免租金、107年9月1日~109年8月31日租金伍萬、109年9月1日~111年8月31日租金伍萬貳仟伍佰、111年9月1日~113年8月31日止月租金伍萬伍仟。,RPPQMLOKQHNFFAH56EC
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1249號16樓之3,24.24,住,,,1070726,土地1建物1車位1,十六層,22,辦公商業大樓,見其他登記事項,見其他登記事項,0810323,136.22,3,0,0,有,有,無,22000,162,坡道平面,0.0,0,,RPQQMLOKQHNFFAH66EC
中壢區,建物,桃園市中壢區正光二街１２６號２樓,0.0,商,,,1070731,土地0建物1車位1,二層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950324,162.26999999999998,2,2,1,有,有,有,23888,147,坡道平面,26.91,0,租金含管理費,RPOQMLOKQHNFFBH98CC
