編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLOKNHPFFAT17CA,27,242.40,住商用,鋼筋混凝土造,82年5月17日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPWNMLOKNHPFFAT67CA,35,78.09,住家用,鋼筋混凝土造,74年1月9日,五層,五層
RPWNMLOKNHPFFAT67CA,35,17.71,樓梯、地下室,鋼筋混凝土造,74年1月9日,五層,
RPXOMLOKNHPFFAT87CA,,36.33,住家用,磚造,,一層,一層 騎樓
RPVNMLSKNHPFFAT97CA,45,149.76,住商用,鋼筋混凝土加強磚造,64年10月7日,三層,一層 二層 三層 騎樓
RPSOMLOKNHPFFAT37CA,26,91.47,住家用,鋼筋混凝土造,82年12月4日,十五層,六層 陽台 花台
RPSOMLOKNHPFFAT37CA,26,30.84,走道，梯間，開放空間，地下室等公共設施,鋼筋混凝土造,82年12月4日,十五層,
RPPOMLTKNHPFFAT57CA,33,156.06,住家用,鋼筋混凝土造,75年10月27日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSOMLSKNHPFFAT77CA,39,120.15,商業用,鋼筋混凝土造,70年6月11日,三層,一層 二層 三層
RPSNMLSKNHPFFBT77CA,,145.17,住宅,鋼筋混凝土造,109年3月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPSOMLPKNHPFFCT67CA,26,121.80,住家用,鋼筋混凝土造,83年6月25日,十一層,六層 陽台 花台
RPSOMLPKNHPFFCT67CA,26,50.49,停車空間防空避難室機械室樓梯間水箱,鋼筋混凝土造,83年6月25日,十一層,
RPSOMLNKNHPFFCT47CA,25,183.13,住家用,鋼筋混凝土造,84年5月18日,三層,一層 二層 三層
RPTNMLOKNHPFFCT57CA,26,84.53,住家用,鋼筋混凝土造,83年9月15日,六層,一層 平台
RPTNMLOKNHPFFCT57CA,26,39.72,機械室、水箱、梯間、防空避難室、停車空間,鋼筋混凝土造,83年9月15日,六層,
RPPOMLTKNHPFFCT77CA,24,93.67,住家用,鋼筋混凝土造,85年8月17日,七層,六層 陽台
RPPOMLTKNHPFFCT77CA,24,32.62,防空避難室、停車空間、樓梯間、機械室、水箱,鋼筋混凝土造,85年8月17日,七層,
RPPNMLMLNHPFFDT17CA,26,159.09,住家用,鋼筋混凝土造,83年1月27日,四層,一層 二層 三層 四層
RPRNMLSKNHPFFDT87CA,2,265.23,住家用,鋼筋混凝土構造,107年3月23日,四層,一層 二層 三層 四層 陽台
RPPNMLOKNHPFFFT47CA,28,120.20,住家用,鋼筋混凝土造,81年10月23日,三層,一層 二層 三層
RPRNMLLJOHPFFDT17CA,46,99.60,住家用,鋼筋混凝土造,62年11月1日,二層,一層 二層
RPPNMLRKNHPFFET67CA,1,190.15,住宅（Ｈ－２）　　,鋼筋混凝土構造,107年11月28日,四層,一層 二層 三層 四層 陽台 騎樓
RPTNMLKLNHPFFCT27CA,1,110.83,集合住宅,鋼筋混凝土構造,107年11月22日,五層,三層 陽台
RPTNMLKLNHPFFCT27CA,1,22.27,門廊、樓梯間,鋼筋混凝土構造,107年11月22日,五層,
RPPOMLPKNHPFFCT37CA,26,169.53,住家用,鋼筋混凝土造,83年5月17日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPROMLSKNHPFFBT77CA,8,186.86,住家用,鋼筋混凝土造,101年4月24日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLKLNHPFFBT27CA,,324.64,辦公室，會議室,加強磚造,,二層,一層 二層 屋頂突出物
RPPNMLSLNHPFFBT57CA,26,168.52,住家用,鋼筋混凝土造,83年6月10日,三層,一層 二層 三層 陽台 平台 屋頂突出物
RPTNMLSKNHPFFBT87CA,,168.28,住宅,鋼筋混凝土造,109年3月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLKKOHPFFCT07CA,22,175.24,起居室　住宅,鋼筋混凝土造,87年7月1日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPSOMLKKOHPFFCT27CA,12,214.79,車道、集合住宅,鋼筋混凝土構造,96年11月13日,四層,一層 二層 三層 四層 陽台 屋頂突出物 見其他登記事項
RPSNMLSKNHPFFAT67CA,,218.82,住家用,鋼筋混凝土加強磚造,,三層,一層 二層 三層
RPPOMLSKNHPFFAT47CA,26,90.18,集合住宅,鋼筋混凝土造,82年11月30日,十二層,四層 陽台
RPPOMLSKNHPFFAT47CA,26,29.13,共有部份,鋼筋混凝土造,82年11月30日,十二層,
RPXNMLSKNHPFFAT18CA,4,231.42,住家用,鋼筋混凝土造,105年9月1日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLSKNHPFFAT37CA,37,77.48,住家用,鋼筋混凝土造,72年3月15日,五層,三層
RPPNMLSKNHPFFAT37CA,37,.00,防空避難室,鋼筋混凝土造,72年5月16日,,
RPPNMLSKNHPFFAT37CA,37,.00,公共設施，樓梯，通道，突出物,鋼筋混凝土造,72年3月15日,,
RPPNMLLJOHPFFAT66CA,37,91.44,住家用,鋼筋混凝土造,71年10月30日,五層,一層 二層 騎樓
RPPNMLLJOHPFFAT66CA,37,14.77,共有部份,鋼筋混凝土造,71年10月30日,五層,
RPQNMLSKNHPFFAT47CA,23,172.12,住家用,鋼筋混凝土造,86年3月7日,四層,一層 二層 三層 四層 陽台 雨遮
RPTNMLSKNHPFFAT77CA,38,93.48,集合住宅,鋼筋混凝土造,70年12月31日,五層,二層
RPTNMLSKNHPFFAT77CA,38,14.17,集合住宅，樓梯，防空避難,鋼筋混凝土造,70年12月31日,五層,
RPRNMLTKNHPFFAT67CA,25,220.64,住家用,鋼筋混凝土造,84年6月21日,四層,一層 二層 三層 四層 騎樓
RPWOMLPKNHPFFAT87CA,20,47.24,集合住宅,鋼筋混凝土造,88年12月4日,十四層,三層 陽台
RPWOMLPKNHPFFAT87CA,20,14.40,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,
RPOOMLTKNHPFFAT47CA,,72.94,集合住宅,鋼筋混凝土造,109年3月3日,四層,二層 陽台
RPOOMLTKNHPFFAT47CA,,32.96,停車空間、樓梯間、梯廳、電梯間,鋼筋混凝土造,109年3月3日,四層,
RPUOMLLLNHPFFAT37CA,37,90.40,住家用,加強磚造,72年2月9日,二層,一層 二層
RPVNMLKLNHPFFAT27CA,38,169.94,農舍,加強磚造,71年3月24日,三層,一層 二層 三層
RPWOMLPLNHPFFAT97CA,13,8.76,辦公室,鋼筋混凝土造,96年5月30日,八層,三層 陽台
RPWOMLPLNHPFFAT97CA,13,7.84,梯廳、防空避難室、停車空間、水箱、機械室,鋼筋混凝土造,96年5月30日,八層,
RPROMLTKNHPFFAT77CA,,182.79,住家用,鋼筋混凝土造,109年1月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLRJOHPFFBT37CA,1,223.36,店鋪、住宅,鋼筋混凝土構造,107年10月31日,三層,陽台 見其他登記事項
RPUNMLSKNHPFFBT97CA,,145.33,住宅,鋼筋混凝土造,109年3月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLSKNHPFFBT08CA,,169.28,住宅,鋼筋混凝土造,109年1月17日,三層,一層 二層 三層 陽台 見其他登記事項
RPOOMLSKNHPFFBT47CA,,165.75,住宅,鋼筋混凝土造,109年3月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPQOMLPKNHPFFCT47CA,32,134.28,住商用,鋼筋混凝土造,77年2月12日,三層,一層 二層 三層 騎樓
RPTOMLSKNHPFFCT08CA,1,201.17,店舖、住宅、樓梯間,鋼筋混凝土構造,107年10月25日,三層,一層 二層 三層 陽台 騎樓 見其他登記事項
RPQOMLQLNHPFFCT67CA,40,133.80,住商用,加強磚造,69年7月19日,二層,一層 二層 騎樓
RPSNMLSKNHPFFCT87CA,37,135.70,住家用,鋼筋混凝土造,71年11月30日,三層,一層 二層 三層
RPPOMLMLNHPFFCT17CA,43,72.80,住家用,加強磚造,66年8月3日,二層,一層 二層
RPVOMLQLNHPFFCT18CA,26,82.70,住家用,鋼筋混凝土造,82年12月28日,五層,三層 陽台
RPVOMLQLNHPFFCT18CA,26,20.00,停車空間、梯間、等公共設施,鋼筋混凝土造,82年12月28日,五層,
RPRNMLMJOHPFFCT17CA,17,166.41,住家用,鋼筋混凝土造,92年1月13日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLKLNHPFFDT07CA,33,270.94,辦公室　會議室,鋼筋混凝土造,76年9月25日,二層,一層 二層 屋頂突出物
RPPNMLLLNHPFFET17CA,22,92.70,住家用,鋼筋混凝土造,86年12月2日,十五層,七層 陽台
RPPNMLLLNHPFFET17CA,22,32.85,住家用,鋼筋混凝土造,86年12月2日,十五層,
RPUNMLTKNHPFFDT28CA,27,94.00,住家用,鋼筋混凝土造,82年7月21日,七層,六層 陽台
RPUNMLTKNHPFFDT28CA,27,13.25,防空避難停車場,鋼筋混凝土造,82年7月21日,,
RPUNMLTKNHPFFDT28CA,27,11.50,梯間,鋼筋混凝土造,82年7月21日,,
RPSNMLNJOHPFFDT47CA,25,98.50,住家用,鋼筋混凝土造,84年8月8日,十六層,五層 陽台 花台
RPSNMLNJOHPFFDT47CA,25,32.24,公共設施,鋼筋混凝土造,84年8月8日,十六層,
RPPNMLSLNHPFFFT08DA,40,91.27,住商用,加強磚造,69年4月16日,二層,一層 二層
RPTNMLTKNHPFFDT18CA,40,158.40,,鋼筋混凝土造,69年2月13日,三層,一層 二層 三層 騎樓
RPSNMLRLNHPFFDT97CA,30,208.50,店舖、住宅,鋼筋混凝土造,79年6月6日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLNKNHPFFDT47CD,,216.15,住家用,鋼筋混凝土構造,108年12月30日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLPLNHPFFDT77CA,16,60.19,住家用,加強磚造,93年3月24日,一層,一層
RPRNMLTLNHPFFCT97CA,,219.22,門廊、住宅、樓梯間,鋼筋混凝土構造,108年6月10日,三層,一層 二層 三層 陽台 見其他登記事項
RPSNMLQKOHPFFFT08CA,32,120.37,住家用,加強磚造,77年4月26日,二層,一層 二層 屋頂突出物
RPSNMLTKNHPFFAT87DA,38,68.16,住家用,鋼筋混凝土造,71年8月10日,五層,四層
RPSNMLTKNHPFFAT87DA,38,12.05,樓梯,鋼筋混凝土造,71年8月10日,五層,
RPQNMLTLNHPFFCT87CA,,197.43,住宅、樓梯間,鋼筋混凝土構造,108年11月29日,三層,一層 二層 三層 陽台 見其他登記事項
