鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,房地(土地+建物),高雄市苓雅區成功一路8樓A2,4.99,商,,,1080110,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,4980000,76816,,0.0,0,,RPSOMLNLNHPFFBE68CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路8樓A3,4.31,商,,,1080110,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,4200000,72866,,0.0,0,,RPTOMLNLNHPFFBE78CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路8樓A5,4.95,住,,,1080514,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5000000,76746,,0.0,0,,RPWOMLPLNHPFFBE66CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路S1,4.43,商,,,1080325,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,58.71,0,0,0,無,無,12580000,239697,塔式車位,11.15,1180000,,RPPPMLPLNHPFFBE68CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路3樓A2,4.99,商,,,1080315,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,5700000,84203,塔式車位,11.15,1180000,,RPQPMLPLNHPFFBE78CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路4樓A1,6.18,商,,,1081021,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,7970000,98520,塔式車位,11.15,1180000,,RPRPMLPLNHPFFBE88CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路4樓A5,4.95,商,,,1080531,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5700000,83704,塔式車位,11.15,1180000,,RPSPMLPLNHPFFBE98CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路5樓A1,6.18,商,,,1080307,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,6980000,84156,塔式車位,11.15,1180000,,RPTPMLPLNHPFFBE09CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路5樓A2,4.99,商,,,1080311,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,5950000,88860,塔式車位,11.15,1180000,,RPUPMLPLNHPFFBE56CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路6樓A1,6.18,商,,,1080425,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,6880000,82705,塔式車位,11.15,1180000,,RPVPMLPLNHPFFBE66CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路6樓A6,5.25,商,,,1081021,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,7150000,104007,塔式車位,11.15,1180000,,RPWPMLPLNHPFFBE76CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路8樓A6,5.25,商,,,1080515,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,6430000,91463,塔式車位,11.15,1180000,,RPXPMLPLNHPFFBE86CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路9樓A1,6.18,商,,,1080530,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,7230000,87783,塔式車位,11.15,1180000,,RPOQMLPLNHPFFBE68CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路9樓A2,4.99,商,,,1080129,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,5070000,78205,,0.0,0,,RPPQMLPLNHPFFBE78CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路9樓A3,4.31,商,,,1081021,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,5800000,99376,塔式車位,11.15,1180000,,RPQQMLPLNHPFFBE88CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路9樓A5,4.95,商,,,1080403,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5880000,87037,塔式車位,11.15,1180000,,RPRQMLPLNHPFFBE98CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路9樓A6,5.25,商,,,1081011,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5780000,84318,,0.0,0,,RPSQMLPLNHPFFBE09CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路10樓A1,6.18,商,,,1080404,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,7410000,90395,塔式車位,11.15,1180000,,RPTQMLPLNHPFFBE56CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路10樓A3,4.31,商,,,1080110,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,4340000,75295,,0.0,0,,RPUQMLPLNHPFFBE66CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路10樓A5,4.95,商,,,1080309,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,65.15,2,1,1,有,無,5200000,79816,,0.0,0,,RPVQMLPLNHPFFBE76CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路10樓A6,5.25,商,,,1081026,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5860000,85485,,0.0,0,,RPXQMLPLNHPFFBE96CB
苓雅區,房地(土地+建物)+車位,高雄市苓雅區成功一路11樓A1,6.18,商,,,1080409,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,80.07,2,1,1,有,無,7450000,90975,塔式車位,11.15,1180000,,RPORMLPLNHPFFBE78CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路11樓A2,4.99,商,,,1080105,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,5050000,77896,,0.0,0,,RPSPMLRLNHPFFBE56CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路11樓A3,4.31,商,,,1071231,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,4440000,77030,,0.0,0,,RPSNMLSLNHPFFBE09CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路11樓A6,5.25,商,,,1081027,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,68.55,2,1,1,有,無,5900000,86069,,0.0,0,,RPTNMLSLNHPFFBE56CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路12樓A2,4.99,商,,,1080105,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.83,2,1,1,有,無,5130000,79130,,0.0,0,,RPUNMLSLNHPFFBE66CB
苓雅區,房地(土地+建物),高雄市苓雅區成功一路12樓A3,4.31,商,,,1080107,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.64,2,1,1,有,無,4510000,78244,,0.0,0,,RPVNMLSLNHPFFBE76CB
