鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
仁愛區,建物,基隆市仁愛區仁一路203號1樓,0.0,商,,,1090523,土地0建物1車位0,一層,3,店面(店鋪),住商用,加強磚造,0521101,32.16,0,0,0,無,無,無,30000,933,,0.0,0,,RPWNMLTJOHPFFBC86DC
安樂區,房地(土地+建物),基隆市安樂區基金一路208巷138弄27號,25.33,住,,,1090614,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,92.42,3,2,2,有,有,有,10500,114,,0.0,0,含管理費、稅金或水電等費用。；,RPRNMLPKOHPFFCC68CC
中正區,房地(土地+建物),基隆市中正區北寧路349號,36.6,商,,,1090605,土地2建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0661208,113.48,1,1,1,有,無,有,22000,194,,0.0,0,,RPOOMLRKOHPFFBC58CC
安樂區,房地(土地+建物),基隆市安樂區基金一路112巷7之1號2樓,27.58,其他,,,1090620,土地8建物1車位0,二層,2,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870302,119.41,2,2,2,有,有,有,12000,100,,0.0,0,含管理費、稅金或水電等費用。；,RPRNMLKLOHPFFCC28CC
暖暖區,建物,基隆市暖暖區碇內街396號5樓,0.0,住,,,1090527,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,91.3,3,2,1,有,有,有,8000,88,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPSNMLKLOHPFFCC38CC
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街62巷249號3樓,21.4,住,,,1090620,土地2建物1車位1,三層,3,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,100.89,3,2,2,有,有,有,18000,178,坡道平面,27.44,0,,RPTNMLKLOHPFFCC48CC
安樂區,房地(土地+建物),基隆市安樂區基金一路214之15號12樓,28.27,住,,,1090621,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830310,161.94,3,2,2,有,有,有,16000,99,,0.0,0,含管理費、稅金或水電等費用。；,RPVNMLMLOHPFFCC88CC
安樂區,建物,基隆市安樂區武聖街162號5樓,0.0,住,,,1090528,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790523,99.03999999999999,2,1,1,有,無,有,8000,81,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPXNMLMLOHPFFCC09CC
暖暖區,建物,基隆市暖暖區暖中路53之3號,0.0,住,,,1090529,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,84.7,3,2,2,有,無,有,7800,92,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPPOMLMLOHPFFCC38CC
中山區,建物,基隆市中山區復興路212巷12弄31之2號,0.0,住,,,1090603,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711209,89.14999999999999,3,2,1,有,無,有,8000,90,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPQOMLMLOHPFFCC48CC
七堵區,建物,基隆市七堵區八德路68號3樓,0.0,住,,,1090601,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840929,142.62,3,2,2,有,無,無,12000,84,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPROMLMLOHPFFCC58CC
七堵區,建物,基隆市七堵區東新街17之2號,0.0,商,,,1090601,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660709,63.36,2,1,1,有,無,有,9500,150,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPTOMLMLOHPFFCC78CC
暖暖區,建物,基隆市暖暖區碇內街305號3樓,0.0,住,,,1090527,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,98.86,3,2,2,有,有,有,5900,60,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPUOMLMLOHPFFCC88CC
暖暖區,建物,基隆市暖暖區碇內街446號3樓,0.0,住,,,1090603,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,91.27,2,2,1,有,有,有,6500,71,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPOPMLMLOHPFFCC38CC
暖暖區,建物,基隆市暖暖區碇內街267號4樓,0.0,住,,,1090604,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,109.06,3,1,2,有,有,無,7800,72,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPRPMLMLOHPFFCC68CC
安樂區,建物,基隆市安樂區安一路370巷15之1號,0.0,住,,,1090605,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0631213,73.93,2,1,1,有,無,無,10000,135,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPSPMLMLOHPFFCC78CC
中正區,建物,基隆市中正區祥豐街95號2樓之4,0.0,住,,,1090529,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880510,33.43,1,1,1,有,有,有,6100,182,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPWNMLMLOHPFFBC88CC
信義區,建物,基隆市信義區深澳坑路2之5號12樓之5,0.0,住,,,1090603,土地0建物1車位0,十二層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850426,41.55,1,1,1,有,有,有,6300,152,,0.0,0,基隆市都發處社會住宅包租代管計畫第二期,RPXNMLMLOHPFFBC98CC
