鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正路557號五樓之5,13.8,住,,,1090717,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831104,108.89,3,2,2,有,無,無,15000,138,,0.0,0,,RPVPMLLLPHPFFAG66CC
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮重陽街99號二樓之5,23.96,住,,,1090714,土地0建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850521,103.67,3,2,1,有,無,無,10000,96,坡道平面,0.0,0,,RPOQMLLLPHPFFAG68CC
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇東中路14號地下室,75.31,商,,,1090723,土地2建物1車位0,地下層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0720719,330.57,0,0,0,無,無,有,20000,61,,0.0,0,,RPUNMLOLPHPFFAG66CC
頭城鎮,建物,宜蘭縣頭城鎮復興路109號1樓,0.0,住,,,1090720,土地1建物0車位0,見其他登記事項,5,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860224,73.01,3,2,1,有,無,無,8000,110,,0.0,0,,RPTNMLRLPHPFFBG96CC
宜蘭市,建物,宜蘭縣宜蘭市農權路三段17號,0.0,住,,,1090714,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950619,140.68,0,0,0,無,無,有,35000,249,,0.0,0,含管理費、稅金或水電等費用。；,RPPNMLTLPHPFFBG76CC
宜蘭市,建物,宜蘭縣宜蘭市東港路二段203號,47.93,住,,,1090720,土地1建物0車位0,全,,透天厝,,,,94.06,2,2,3,有,無,無,18000,191,,0.0,0,,RPSNMLKMPHPFFBG88CC
宜蘭市,建物,宜蘭縣宜蘭市公園路451巷10號四樓,0.0,商,,,1090717,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050130,12.5,1,0,0,有,有,有,10000,800,,0.0,0,分租一間雅房,RPTOMLKMPHPFFBG09CC
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮中山路一段207號,150.79,住,,,1090804,土地1建物1車位0,見其他登記事項,1,店面(店鋪),住家用,鋼筋混凝土加強磚造,0541101,150.79,0,0,1,有,無,無,12000,80,,0.0,0,,RPXNMLOJQHPFFAG86CC
蘇澳鎮,建物,宜蘭縣蘇澳鎮大同路181號2樓,124.68,住,,,1090801,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1000919,69.49,2,0,2,有,無,無,8000,115,,0.0,0,,RPOOMLOJQHPFFAG68CC
羅東鎮,建物,宜蘭縣羅東鎮公正路565號11樓,0.0,住,,,1090801,土地0建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850827,74.03,3,1,2,有,有,有,15000,203,,0.0,0,退租時依約定清潔回復原狀，否則由押金中扣除清潔費。,RPOPMLOJQHPFFAG78CC
