編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLOKQHMFFAP17CA,,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台
RPUOMLOKQHMFFAP17CA,,33.24,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPWOMLOKQHMFFAP37CA,2,97.17,集合住宅,鋼筋混凝土造,105年6月30日,七層,六層 陽台
RPWOMLOKQHMFFAP37CA,2,75.58,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPVOMLOKQHMFFAP27CA,2,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,六層 陽台
RPVOMLOKQHMFFAP27CA,2,63.04,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPOPMLOKQHMFFAP66CA,2,104.07,集合住宅,鋼筋混凝土造,105年6月30日,七層,三層 陽台
RPOPMLOKQHMFFAP66CA,2,78.83,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPWNMLOKQHMFFAP27CA,2,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,六層 陽台
RPWNMLOKQHMFFAP27CA,2,63.04,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPXOMLOKQHMFFAP47CA,2,70.56,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台
RPXOMLOKQHMFFAP47CA,2,63.04,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPOOMLOKQHMFFAP56CA,2,99.64,集合住宅,鋼筋混凝土造,105年6月30日,七層,四層 陽台
RPOOMLOKQHMFFAP56CA,2,76.75,公共空間、停車空間、門廊、梯間,鋼筋混凝土造,105年6月30日,七層,
RPVNMLOKQHMFFAP17CA,2,71.73,集合住宅,鋼筋混凝土造,105年6月30日,七層,五層 陽台
