編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSQMLNJQHMFFEE88CA,20,59.10,見使用執照,鋼筋混凝土造,86年1月22日,十九層,
RPXOMLRJQHMFFEE96CA,1,45.99,集合住宅,鋼筋混凝土,105年3月25日,十五層,四層 陽台 雨遮
RPXOMLRJQHMFFEE96CA,1,22.65,本共有部分之項目有防空避難室兼停車空間、樓梯間、門廊面積、停車空間、車道、陽台、管委會使用空間、機械室、水箱等９項。,鋼筋混凝土,105年3月25日,十五層,
RPVNMLSJQHMFFEE76CA,35,68.92,,鋼筋混凝土造,71年9月18日,四層,三層 陽台
RPXNMLSJQHMFFEE96CA,44,52.40,,加強磚造,62年11月29日,二層,一層 二層
RPQNMLKKQHMFFEE18CA,19,110.90,集合住宅,鋼筋混凝土結構造,87年3月19日,十四層,十三層 陽台
RPQNMLKKQHMFFEE18CA,19,34.69,避難室、電樓梯間、停車空間、門廊、屋頂突出物、開放空間、社區中心,鋼筋混凝土造,87年3月19日,十四層,
RPRPMLOLQHMFFEE98CA,29,126.34,住家用,鋼筋混凝土造,77年7月8日,三層,一層 二層 三層 陽台 騎樓 夾層
RPXOMLOLQHMFFBE56CA,1,94.68,住家用,鋼筋混凝土造,105年6月17日,十五層,六層 陽台 雨遮
RPXOMLOLQHMFFBE56CA,1,91.23,共有部份,鋼筋混凝土造,105年6月17日,十五層,
RPRNMLNLQHMFFAE28CA,2,160.51,住家用,鋼筋混凝土造,104年5月13日,二十四層,十層 陽台
RPRNMLNLQHMFFAE28CA,2,105.02,本共有部分之項目有防空避難室兼停車空間、樓梯間、機械室、水箱、環保室、管委會使用空間、停車空間、管理員室、走廊、頂蓋型開放空間、公共服務空間、中繼水箱、防災中心、專用出入口緩衝空間、梯廳、門廊、車道等１７項。,鋼筋混凝土造,104年5月13日,二十四層,
RPQNMLNLQHMFFAE18CA,2,160.51,住家用,鋼筋混凝土造,104年5月13日,二十四層,十四層 陽台
RPQNMLNLQHMFFAE18CA,2,105.02,本共有部分之項目有防空避難室兼停車空間、樓梯間、機械室、水箱、環保室、管委會使用空間、停車空間、管理員室、走廊、頂蓋型開放空間、公共服務空間、中繼水箱、防災中心、專用出入口緩衝空間、梯廳、門廊、車道等１７項。,鋼筋混凝土造,104年5月13日,二十四層,
RPPNMLNLQHMFFAE08CA,3,144.50,住家用,鋼筋混凝土造,103年2月12日,二十四層,十三層 陽台
RPPNMLNLQHMFFAE08CA,3,106.78,本共有部分之項目有門廳、樓梯間、公共服務空間、頂蓋型廣場式開放空間、防災中心、出入口緩衝空間、防空避難室兼停車空間、機械室、水箱等９項。,鋼筋混凝土造,103年2月12日,二十四層,
RPTNMLNLQHMFFAE48CA,2,164.12,住家用,鋼筋混凝土造,104年5月13日,二十四層,十二層 陽台
RPTNMLNLQHMFFAE48CA,2,106.79,本共有部分之項目有防空避難室兼停車空間、樓梯間、機械室、水箱、環保室、管委會使用空間、停車空間、管理員室、走廊、頂蓋型開放空間、公共服務空間、中繼水箱、防災中心、專用出入口緩衝空間、梯廳、門廊、車道等１７項。,鋼筋混凝土造,104年5月13日,二十四層,
RPTNMLSKQHMFFFE76CA,20,93.64,住家用,鋼筋混凝土造,86年11月10日,十二層,六層 陽台 花台
RPTNMLSKQHMFFFE76CA,20,30.73,梯間，門廳，管理員室，機械室，會議室，避難室，水箱，停車空間,鋼筋混凝土造,86年11月10日,十二層,
RPROMLKKQHMFFAE97CA,3,202.33,住家用,鋼筋混凝土、鋼骨鋼筋混凝土構造,103年10月6日,二十八層,十三層 陽台 雨遮
RPROMLKKQHMFFAE97CA,3,145.22,本共有部分之項目有樓梯間、防空避難室兼停車空間、停車空間、門廊、出入口緩衝空間、頂蓋型廣場式開放空間、防災中心、管委會使用空間、電信機房、中繼水箱、機械室、水箱、車道等１３項,鋼筋混凝土造,103年10月6日,二十八層,
RPQNMLSLQHMFFEE09CA,1,113.58,集合住宅,鋼筋混凝土,105年6月4日,二十層,九層 陽台 雨遮
RPQNMLSLQHMFFEE09CA,1,85.45,本共有部分之項目有停車空間、防空避難室兼停車空間、公共服務空間、門廳兼梯廳、外廊、車道、防災中心、出入口緩衝空間、頂蓋型沿街步道式開放空間、樓梯間、中繼室、機械室、水箱共計１３項。,鋼筋混凝土,105年6月4日,二十層,
RPXNMLNLQHMFFFE76CA,12,495.00,工業用,鋼骨構造,94年7月11日,一層,一層 見其他登記事項
RPRNMLPLQHMFFFE98CA,25,144.55,住家用,鋼筋混凝土造,81年7月28日,三層,一層 二層 三層 陽台 屋頂突出物
RPQQMLLJQHMFFGE68CA,42,131.00,住商用,加強磚造,64年10月2日,三層,一層 二層 三層 騎樓
RPRNMLMJQHMFFGE58CA,1,58.00,集合住宅,鋼筋混凝土,105年6月23日,十五層,十五層 陽台 雨遮
RPRNMLMJQHMFFGE58CA,1,45.76,本共有部分之項目有停車空間，防空避難室兼停車空間，梯間，門廳，梯廳，公共服務空間，管委會使用空間，樓梯間，機械室，水箱等項。,鋼筋混凝土,105年6月23日,十五層,
RPQOMLMJQHMFFGE58CA,35,73.65,住家用,鋼筋混凝土造,70年12月30日,五層,四層
RPTOMLMJQHMFFGE88CA,2,248.02,停車空間、集合住宅,鋼筋混凝土,104年1月5日,五層,一層 二層 三層 四層 五層 陽台
RPVNMLNJQHMFFGE09CA,4,327.15,店舖、門廊、住宅、樓梯間,鋼筋混凝土,102年3月21日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPPNMLNJQHMFFGE48CA,2,99.18,集合住宅,鋼筋混凝土,104年3月21日,十一層,九層 陽台 雨遮
RPPNMLNJQHMFFGE48CA,2,55.73,本共有部分之項目有防空避難室兼停車空間、梯間、垃圾暫存室、車道、門廊、公共服務空間、管委會使用空間、樓梯間、機械室、水箱等項。,鋼筋混凝土,104年3月21日,十一層,
RPXQMLNJQHMFFGE96CA,22,75.07,住家用,鋼筋混凝土造,85年1月5日,二十一層,十八層 陽台
RPXQMLNJQHMFFGE96CA,22,40.35,共有部份,鋼筋混凝土造,85年1月5日,二十一層,
RPQNMLRJQHMFFGE98CA,22,104.21,住家用,鋼筋混凝土造,84年7月22日,二十五層,十六層 陽台
RPQNMLRJQHMFFGE98CA,22,41.79,共有部份,鋼筋混凝土造,84年7月22日,二十五層,
RPWOMLTJQHMFFGE27CA,25,90.74,住家用,鋼筋混凝土造,81年4月7日,七層,五層 陽台
RPWOMLTJQHMFFGE27CA,25,43.81,共有部份,鋼筋混凝土造,81年4月7日,七層,
RPWNMLKKQHMFFGE98CA,31,164.76,住商用,鋼筋混凝土造,75年8月12日,三層,一層 二層 三層 屋頂突出物
RPQOMLKKQHMFFGE48CA,25,45.16,住家用,鋼筋混凝土造,81年11月30日,十五層,七層 陽台 花台
RPQOMLKKQHMFFGE48CA,25,45.16,住家用,鋼筋混凝土造,81年11月30日,十五層,七層 陽台 花台
RPQOMLKKQHMFFGE48CA,25,10.93,共有部份,鋼筋混凝土造,81年11月30日,十五層,
RPQOMLKKQHMFFGE48CA,25,10.93,共有部份,鋼筋混凝土造,81年11月30日,十五層,
RPRNMLSLQHMFFEE56CA,1,57.98,集合住宅,鋼筋混凝土,105年6月4日,二十層,四層 陽台 雨遮
