鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
平鎮區,車位,桃園市平鎮區上海路１８８之１號,0.32,商,,,1080606,土地0建物0車位1,一層,十五層,其他,見其他登記事項,鋼筋混凝土造,0951213,32.21,0,0,0,有,有,1170000,,坡道平面,0.0,1170000,,RPPNMLTKPHOFFGH96CA,0.0,0.0,0.0,,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路２００號十樓,21.15,住,,,1080412,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,163.0,3,2,2,有,無,8450000,52601,坡道平面,27.07,1300000,,RPPNMLQKPHOFFGH66CA,79.19,6.73,9.64,,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中庸路２１６號十樓,20.35,住,,,1080526,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070928,157.93,3,2,2,有,無,8160000,52422,坡道平面,27.07,1300000,,RPQNMLQKPHOFFGH76CA,77.54,6.82,7.65,,
平鎮區,土地,平南段220-2地號,119.39,住,,,1080518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4299000,36008,,0.0,0,,RPRNMLLKPHOFFGH98CA,0.0,0.0,0.0,,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區環南路三段１７３號六樓,14.76,住,,,1080602,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930701,169.47,4,2,2,有,有,7800000,46026,坡道平面,0.0,0,,RPROMLRJQHOFFGH07CA,97.83,1.35,7.12,,
平鎮區,房地(土地+建物),桃園市平鎮區平東路２８２巷３２弄８衖７號,65.69,住,,,1080608,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0770123,122.73,3,2,2,有,無,4800000,39110,,0.0,0,,RPTOMLQLPHOFFGH27CA,93.4,29.33,0.0,,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區上海路１５９號九樓,13.38,商,,,1080602,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951213,108.27000000000001,2,2,1,有,有,4980000,45996,坡道平面,0.0,0,,RPQOMLMJQHOFFGH09CA,49.76,3.59,4.04,,
八德區,房地(土地+建物),桃園市八德區陸光街66巷6之1號,26.14,住,,,1080604,土地1建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881125,145.95,3,2,2,有,有,7290000,49949,,0.0,0,,RPUOMLMLPHOFFFH86CA,87.12,0.0,14.55,,
八德區,土地,榮興段710地號,4089.54,,特定農業區,甲種建築用地,1080524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,256077630,62618,,0.0,0,,RPOOMLTLPHOFFFH96CA,0.0,0.0,0.0,,
八德區,房地(土地+建物)+車位,桃園市八德區茄苳路93巷3號8樓,29.89,住,,,1080513,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890817,136.47,3,1,2,有,有,5850000,42867,坡道平面,0.0,0,,RPSNMLMKPHOFFFH09CA,70.91,0.0,9.48,,
