鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,建物,桃園市中壢區日新路６５號五樓,0.0,住,,,1061118,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690829,21.59,3,3,3,有,有,有,3000,139,,0.0,0,,RPPNMLPJKIMFFBH18CC
中壢區,建物,桃園市中壢區福州二街３７７號,0.0,住,,,1061120,土地0建物0車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0780717,73.93,0,0,0,無,無,無,22000,298,,0.0,0,,RPQNMLPJKIMFFBH28CC
中壢區,建物,桃園市中壢區中山路４１號七樓之１７,0.0,商,,,1061118,土地0建物1車位0,七層,10,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0830907,22.58,1,1,1,有,有,無,4500,199,,0.0,0,,RPRNMLPJKIMFFBH38CC
中壢區,建物,桃園市中壢區永福路１１０８號十一樓,0.0,住,,,1061110,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920710,188.72,5,2,3,有,有,無,14000,74,,0.0,0,,RPTNMLPJKIMFFBH58CC
中壢區,建物,桃園市中壢區環中東路二段４９６號六樓,0.0,住,,,1061130,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810316,124.00999999999999,3,2,2,有,有,無,11500,93,,0.0,0,,RPUNMLPJKIMFFBH68CC
中壢區,建物,桃園市中壢區大勇二街１７之５號四樓,0.0,住,,,1061118,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841008,105.28,3,2,2,有,有,有,12000,114,,0.0,0,,RPUOMLPJKIMFFBH78CC
中壢區,建物,桃園市中壢區新興路２３０巷１５號十樓,0.0,商,,,1061116,土地0建物1車位0,十層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040915,115.94,3,2,2,有,有,無,24000,207,,0.0,0,,RPVOMLPJKIMFFBH88CC
中壢區,建物,桃園市中壢區南園二路５７巷１８弄１０號四樓,0.0,住,,,1061126,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710823,99.52,3,2,2,有,無,無,8500,85,,0.0,0,,RPROMLQJKIMFFBH58CC
中壢區,房地(土地+建物),桃園市中壢區莊敬路790號一樓,97.0,住,,,1061201,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1050114,50.87,0,0,1,有,無,無,27000,531,,0.0,0,,RPWOMLQJKIMFFBH56DC
平鎮區,建物,桃園市平鎮區正義路５９巷１２弄２衖１號,0.0,,特定農業區,甲種建築用地,1061127,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840810,229.29,5,2,4,有,有,無,16000,70,,0.0,0,,RPPQMLQJKIMFFGH09CC
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路50之2號十六樓,12.02,商,,,1061125,土地2建物1車位1,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050713,125.46,2,2,1,有,有,有,20000,159,坡道平面,8.31,0,,RPOPMLRJKIMFFAH48DC
中壢區,建物,桃園市中壢區元化路165巷29號二樓,0.0,住,,,1061113,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821023,74.77000000000001,2,1,1,有,有,有,8000,107,,0.0,0,,RPOTMLRJKIMFFBH88CC
蘆竹區,建物,桃園市蘆竹區中山北街４９號十二樓,0.0,住,,,1061117,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980630,96.97999999999999,2,1,1,有,有,有,15500,160,坡道機械,16.57,0,,RPTNMLRJKIMFFEH09CC
