鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中和區,建物,新北市中和區中正路736號15樓之2,0.0,工,,,1051005,土地0建物2車位0,十五層,18,廠辦,工業用,鋼筋混凝土造,0880227,461.04,0,0,0,無,無,無,113264,246,,0.0,0,,RPSPMLMJJILFFHF58CC
中和區,建物,新北市中和區中正路736號15樓之5,0.0,工,,,1051018,土地0建物4車位0,十五層,18,廠辦,工商用,鋼筋混凝土造,0880227,1122.23,0,0,0,無,無,無,282564,252,,0.0,0,,RPTPMLMJJILFFHF68CC
中和區,建物,新北市中和區建八路2號15樓之8,0.0,工,,,1051019,土地0建物1車位0,十五層,18,廠辦,工商用,鋼筋混凝土造,0880227,240.38,0,0,0,無,有,無,60000,250,,0.0,0,,RPQQMLMJJILFFHF48CC
汐止區,房地(土地+建物),新北市汐止區新台五路一段75號地下一層之5,0.0,工,,,1051027,土地1建物1車位0,地下一層,21,廠辦,工商用,鋼造,0830330,105.79,0,0,0,無,有,無,26000,246,,0.0,0,此為分租倉庫,RPSNMLMJJILFFDF97CC
板橋區,房地(土地+建物),新北市板橋區文化路一段360號39樓之6,2.6,住,,,1051025,土地1建物1車位0,三十九層,40,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,50.63,0,0,0,無,有,有,28000,553,,0.0,0,,RPQPMLMJJILFFAF67CC
五股區,房地(土地+建物)+車位,新北市五股區五權七路36號5樓,308.83,,工業區,丁種建築用地,1051027,土地1建物1車位2,五層,6,廠辦,見其他登記事項,鋼筋混凝土造,0800627,1316.69,0,0,0,無,有,無,300000,228,坡道平面,0.0,0,租金含2車位，25機車位,RPPQMLMJJILFFBF77CC
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段52號10樓,8.57,住,,,1051102,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,85.18,2,1,1,有,有,有,15000,176,坡道平面,0.0,0,,RPSOMLNJJILFFBF97CC
板橋區,建物,新北市板橋區文聖街２２３號,0.0,住,,,1051024,土地0建物1車位0,見其他登記事項,7,店面(店鋪),住商用,鋼筋混凝土造,0820220,112.55,0,0,0,無,有,無,29400,261,,0.0,0,一層+騎樓,RPWOMLNJJILFFAF28CC
新店區,建物,新北市新店區寶橋路235巷125號8樓,0.0,工,,,1051014,土地0建物1車位0,八層,8,廠辦,工業用,鋼筋混凝土造,0881004,230.13,2,1,0,有,有,有,58000,252,,0.0,0,,RPSNMLNJJILFFCF97CC
新店區,建物,新北市新店區寶橋路235巷125號8樓之1,0.0,工,,,1051014,土地0建物1車位0,八層,8,廠辦,工業用,鋼筋混凝土造,0881004,220.3,3,1,0,有,有,有,66000,300,坡道平面,33.85,0,,RPTNMLNJJILFFCF08CC
新店區,房地(土地+建物),新北市新店區錦秀路49巷8號3樓,29.98,住,,,1051022,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,72.9,3,2,1,有,無,有,10000,137,,0.0,0,,RPOOMLNJJILFFCF67CC
汐止區,建物,新北市汐止區明峰街１１號九樓,0.0,住,,,1051028,土地0建物1車位1,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041019,193.89,3,2,2,有,有,無,25000,129,坡道平面,35.15,0,,RPSNMLNJJILFFDF08CC
汐止區,建物,新北市汐止區大同路一段181號13樓,0.0,工,,,1051102,土地0建物1車位0,十三層,14,廠辦,工業用,鋼筋混凝土造,0830115,356.76,0,0,0,無,有,有,44000,123,,0.0,0,,RPOOMLNJJILFFDF77CC
中和區,房地(土地+建物)+車位,新北市中和區立德街98巷76號,343.06,工,,,1051005,土地1建物1車位1,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0770511,602.52,0,0,0,無,無,無,157500,261,一樓平面,15.0,0,,RPTNMLNJJILFFHF58CC
中和區,房地(土地+建物),新北市中和區安樂路77號,21.4,住,,,1051101,土地1建物1車位0,見其他登記事項,11,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950908,118.27000000000001,0,0,0,無,無,無,55000,465,,0.0,0,,RPUNMLNJJILFFHF68CC
中和區,房地(土地+建物)+車位,新北市中和區景平路151之2號2樓,20.2,住,,,1051018,土地1建物1車位1,二層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1000318,165.71,3,2,2,有,有,有,45000,272,坡道平面,0.0,0,,RPVOMLNJJILFFHF88CC
淡水區,房地(土地+建物)+車位,新北市淡水區民權路23號二樓之24,6.92,工,,,1051006,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971223,98.78,2,2,1,有,有,有,20000,202,坡道平面,34.83,0,租金含管理費。,RPTQMLNJJILFFEF58CC
淡水區,房地(土地+建物),新北市淡水區民權路25號五樓之3,5.67,工,,,1051010,土地1建物1車位0,五層,24,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971223,52.24,1,1,1,有,有,有,17000,325,,0.0,0,租金含管理費及網路費。,RPUQMLNJJILFFEF68CC
汐止區,房地(土地+建物),新北市汐止區大同路三段６１９號９樓之５,8.53,住,,,1051005,土地1建物1車位0,九層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,90.82,2,2,2,有,有,無,13000,143,,0.0,0,1.含管理費。,RPTOMLNJJILFFDF48EC
汐止區,車位,新北市汐止區大同路三段６１５號地下一樓等公共設施,8.86,住,,,1051027,土地0建物0車位1,,,住宅大樓(11層含以上有電梯),,,,42.69,0,0,0,有,有,無,4000,,坡道平面,42.69,4000,1.含管理費。,RPUOMLNJJILFFDF58EC
汐止區,車位,新北市汐止區大同路三段６１５號地下一樓等公共設施,12.57,住,,,1051101,土地0建物0車位1,,,住宅大樓(11層含以上有電梯),,,,21.34,0,0,0,有,有,無,1800,,坡道機械,21.34,1800,1.含管理費。,RPVOMLNJJILFFDF68EC
汐止區,車位,新北市汐止區大同路三段６１５號地下一樓等公共設施,8.6,住,,,1051027,土地0建物0車位1,,,住宅大樓(11層含以上有電梯),,,,42.69,0,0,0,有,有,無,3000,,坡道平面,42.69,3000,1.含管理費。,RPWOMLNJJILFFDF78EC
汐止區,房地(土地+建物),新北市汐止區大同路三段６１９號９樓之６,6.64,住,,,1051102,土地1建物1車位0,九層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,76.28,2,1,1,有,有,無,12000,157,,0.0,0,1.含管理費。,RPXOMLNJJILFFDF88EC
淡水區,房地(土地+建物),新北市淡水區中正東路二段75號十四樓之9,8.59,住,,,1051103,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970711,52.18000000000001,1,1,1,有,有,有,17000,326,,0.0,0,,RPRQMLOJJILFFEF48CC
淡水區,建物,新北市淡水區濱海路一段１４７號十二樓,0.0,住,,,1051015,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011101,176.38,4,2,2,有,有,無,27000,153,坡道平面,33.3,0,,RPUQMLOJJILFFEF78CC
樹林區,房地(土地+建物)+車位,新北市樹林區佳園路三段532號9樓,11.6,住,,,1051020,土地1建物1車位1,九層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970125,95.0,1,1,1,有,有,有,14000,147,坡道平面,27.63,0,,RPWNMLOJJILFFIF09CC
三重區,建物,新北市三重區正義北路３６４巷６６號,0.0,住,,,1051016,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,加強磚造,0641117,81.5,3,2,1,有,無,無,20000,245,,0.0,0,,RPVNMLOJJILFFGF78CC
永和區,建物,新北市永和區中山路一段１９１巷１５弄８號二樓,0.0,住,,,1051023,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660214,72.69,3,2,1,有,無,有,14500,199,,0.0,0,,RPQOMLOJJILFFHF48CC
中和區,建物,新北市中和區員山路512之7號4樓,0.0,工,,,1051007,土地0建物1車位0,四層,8,廠辦,工業用,鋼筋混凝土造,0880313,277.84000000000003,0,0,0,無,有,無,60000,216,,0.0,0,,RPWOMLOJJILFFHF09CC
中和區,房地(土地+建物),新北市中和區民享街101號,26.02,住,,,1051026,土地2建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670818,84.44,1,2,1,有,無,有,28000,332,,0.0,0,,RPXOMLOJJILFFHF56CC
汐止區,建物,新北市汐止區明峰街９號九樓,0.0,住,,,1051028,土地0建物1車位1,九層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041019,189.57999999999998,3,2,2,有,有,無,25000,132,坡道平面,30.83,0,,RPXNMLOJJILFFDF68CC
汐止區,建物,新北市汐止區忠孝東路487-5號,0.0,住,,,1051027,土地0建物1車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0880414,131.73000000000002,0,0,0,無,有,無,26000,197,,0.0,0,,RPPNMLPJJILFFDF97CC
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路一段99號17樓之12,32.61,工,,,1051102,土地2建物1車位2,十七層,35,廠辦,工業用,見其他登記事項,1031013,433.51,0,0,0,無,有,無,100000,231,坡道平面,0.0,0,,RPQNMLRJJILFFDF28CC
汐止區,房地(土地+建物)+車位,新北市汐止區康寧街169巷21號4樓,55.73,工,,,1051028,土地1建物1車位1,四層,13,廠辦,工業用,鋼筋混凝土造,0840712,271.22,0,0,0,無,有,無,45128,166,坡道平面,0.0,0,,RPWNMLRJJILFFDF88CC
汐止區,建物,新北市汐止區大同路一段１８１號十樓之１,0.0,工,,,1051018,土地0建物1車位0,十層,14,廠辦,工業用,鋼筋混凝土造,0830115,250.70999999999998,0,0,0,無,無,無,37000,148,,0.0,0,分租部份約14坪給其他房客補貼租金1000元,RPXNMLRJJILFFDF98CC
汐止區,房地(土地+建物)+車位,新北市汐止區康寧街169巷29之1號2樓,125.31,工,,,1051026,土地1建物1車位1,二層,13,廠辦,工業用,鋼筋混凝土造,0841211,290.91999999999996,0,0,0,無,有,無,40000,137,坡道平面,0.0,0,,RPOOMLRJJILFFDF18CC
汐止區,房地(土地+建物)+車位,新北市汐止區新台五路一段77號20樓之2,17.45,工,,,1051024,土地1建物1車位2,二十層,21,廠辦,工商用,鋼造,0830330,277.07000000000005,0,0,0,無,有,無,62500,226,坡道平面,0.0,0,續約,RPROMLRJJILFFDF48CC
新店區,建物,新北市新店區北新路三段１２２號三樓之２,0.0,其他,,,1051018,土地0建物1車位0,三層,13,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1041230,46.02,1,1,1,有,有,無,21000,456,,0.0,0,,RPTNMLRJJILFFCF48CC
新莊區,建物,新北市新莊區中正路新生巷２３之１號,0.0,住,,,1051027,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681224,68.15,3,2,1,有,無,無,11000,161,,0.0,0,,RPSOMLRJJILFFBF38CC
新莊區,房地(土地+建物),新北市新莊區立信三街33號8樓,16.16,住,,,1051031,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941123,117.53999999999999,3,2,2,有,有,有,22000,187,,0.0,0,,RPUPMLRJJILFFBF68CC
新莊區,建物,新北市新莊區化成路３５２巷１４號,0.0,工,,,1051019,土地0建物0車位0,一層,4,工廠,工業用,鋼筋混凝土造,0690212,84.96,0,0,0,無,無,無,28000,,,0.0,0,,RPVPMLRJJILFFBF78CC
