鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,建物,臺北市中正區信義路二段261號7樓之6,0.0,商,,,1071215,土地0建物1車位0,七層,14,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,1070702,53.53,1,1,1,有,有,有,38000,710,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPPOMLRLKINFFBA08CC
中正區,建物,臺北市中正區忠孝東路一段39號5樓之3,0.0,商,,,1071220,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950926,82.93,2,2,1,有,有,有,34000,410,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPQOMLRLKINFFBA18CC
大安區,建物,臺北市大安區市民大道三段206號4樓、11樓,0.0,住,,,1071024,土地0建物2車位2,見其他登記事項,11,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1070111,1217.01,0,0,0,無,有,無,663686,545,坡道平面,0.0,14000,含營業稅,RPRNMLRLKINFFFA58CC
中正區,建物,臺北市中正區寧波西街31號5樓,0.0,商,,,1071223,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860610,113.39,2,2,1,有,有,有,45000,397,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPWNMLRLKINFFAA58CC
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段150巷8號8樓之1,23.08,住,,,1071225,土地1建物1車位1,八層,30,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,157.12,3,2,3,有,有,無,50000,318,坡道平面,0.0,5000,,RPVOMLRLKINFFDA98DC
文山區,建物,臺北市文山區羅斯福路六段142巷82號2樓,0.0,住,,,1071224,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800710,138.06,3,2,2,有,無,有,35000,254,,0.0,0,,RPXNMLSLKINFFAA78CC
文山區,建物,臺北市文山區木新路三段１３０號五樓,0.0,住,,,1071213,土地0建物0車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781127,96.74000000000001,3,2,2,有,無,有,23000,238,,0.0,0,部分承租，公設面積無法分算,RPROMLSLKINFFAA28CC
大安區,房地(土地+建物),臺北市大安區和平東路三段49號5樓,7.22,其他,,,1071220,土地1建物1車位0,五層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,98.15,3,2,2,有,有,無,29000,295,,0.0,0,,RPOOMLSLKINFFFA48CC
大安區,建物,臺北市大安區四維路94號,0.0,住,,,1071214,土地0建物1車位0,一層,4,店面(店鋪),,加強磚造,0551014,93.02,1,1,0,有,有,無,73500,790,,0.0,0,,RPPOMLSLKINFFFA58CC
萬華區,建物,臺北市萬華區德昌街185巷32號,0.0,住,,,1071225,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),,加強磚造,,59.95,2,1,1,有,無,無,15500,259,,0.0,0,含增建或未登記建物。；,RPPPMLSLKINFFBA28CC
萬華區,建物,臺北市萬華區貴陽街2段19、21號1樓,0.0,商,,,1071218,土地0建物1車位0,一層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0751222,125.6,0,0,0,無,無,有,60000,478,,0.0,0,做店面使用,RPQPMLSLKINFFBA38CC
萬華區,建物,臺北市萬華區康定路25巷36弄2號2樓,0.0,商,,,1071227,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,,60.66,2,1,1,有,無,有,15000,247,,0.0,0,台北市社會住宅包租代管計畫專案,RPSPMLSLKINFFBA58CC
