鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市東庄里１９鄰富強二街８號十二樓,28.15,住,,,1090106,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080806,162.36,3,2,2,有,有,5880000,39390,坡道平面,37.2,950000,,RPPNMLSKKHPFFFK66CA,76.46,1.66,8.59,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市東庄里１９鄰富強二街３０號十四樓,28.15,住,,,1090113,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080806,162.82999999999998,3,2,2,有,有,5750000,38270,坡道平面,36.1,900000,,RPQNMLSKKHPFFFK76CA,77.1,1.66,9.09,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市東庄里１９鄰富強二街３６號二樓,28.15,住,,,1081230,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080806,162.18,3,2,2,有,有,5600000,36806,坡道平面,37.2,1000000,,RPRNMLSKKHPFFFK86CA,77.02,0.0,9.09,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市東庄里１９鄰昌隆一街２３號,26.35,住,,,1081118,土地1建物1車位1,一層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080806,163.11,0,0,0,無,有,8800000,62743,坡道平面,37.2,900000,,RPSNMLSKKHPFFFK96CA,74.73,0.0,13.46,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市新華里3鄰中正一路509號六樓,37.02,,鄉村區,乙種建築用地,1081211,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071206,168.60000000000002,3,2,2,有,有,6100000,36180,坡道平面,0.0,1100000,,RPTNMLSKKHPFFFK07CA,89.41,0.0,8.93,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市新華里3鄰中正一路511之1號五樓,34.01,,鄉村區,乙種建築用地,1081206,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071206,156.87,3,2,2,有,有,5410000,34487,坡道平面,0.0,850000,,RPUNMLSKKHPFFFK17CA,81.17,0.0,8.65,,
頭份市,土地,興隆段上埔小段246-3地號,1000.0,農,,,1081125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7560000,7560,,0.0,0,,RPPNMLPLKHPFFFK09CA,0.0,0.0,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份市山下里９鄰永忠街１８號五樓之六,20.13,商,,,1081230,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,0990412,68.75,2,2,1,有,有,3120000,45382,,0.0,0,,RPPNMLMJLHPFFFK68CA,52.7,0.0,5.83,,
南庄鄉,土地,北獅里興段北獅里興小段268-97地號,2500.0,,山坡地保育區,農牧用地,1090110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,2600,,0.0,0,受債權債務影響或債務抵償之交易。；買賣標的非素地。地政士僅受託辦理移轉登記，未代訂私契。,RPRNMLTKKHPFFFK96CA,0.0,0.0,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份市田寮里1鄰東田街40巷39號三樓,25.24,住,,,1081227,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0820726,130.25,3,2,2,有,有,3300000,25336,,0.0,0,,RPTNMLKLKHPFFFK98CA,86.43,0.0,9.97,,
銅鑼鄉,土地,西田洋段714-2地號,1060.25,農,,,1090207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,1509,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLRLKHPFFEK56CA,0.0,0.0,0.0,,
竹南鎮,土地,竹南段一小段1052地號,692.19,住,,,1081219,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39652500,57286,,0.0,0,,RPVNMLMJLHPFFDK09CA,0.0,0.0,0.0,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮維新路２７１號九樓,18.85,住,,,1090130,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061220,169.41,2,1,2,有,有,6000000,35417,坡道平面,0.0,0,,RPRNMLOJLHPFFDK88CA,56.62,0.0,5.22,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮中華里３鄰新生路２４５巷３３號五樓之三,41.34,住,,,1081130,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040422,124.12,3,2,2,有,有,5700000,45923,一樓平面,0.0,0,,RPSNMLRKKHPFFDK66CA,77.43,0.0,13.06,,
苑裡鎮,土地,苑坑段44地號,3854.37,,山坡地保育區,窯業用地,1090205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28500000,7394,,0.0,0,,RPPNMLKLKHPFFCK28CA,0.0,0.0,0.0,,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮社苓里１１鄰社苓１２２之１０號,172.33,,特定農業區,甲種建築用地,1090107,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0851024,167.72,5,3,3,有,無,5500000,32793,,0.0,0,,RPVNMLKLKHPFFCK88CA,164.81,0.0,2.91,,
大湖鄉,房地(土地+建物),苗栗縣大湖鄉民族路84號,69.13,住,,,1081230,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0710104,72.64,3,1,1,有,無,105000,1445,,0.0,0,親友、員工或其他特殊關係間之交易。；父子自用住宅優惠稅率移轉,RPQNMLTKKHPFFAK98CA,72.64,0.0,0.0,,
大湖鄉,土地,水尾坪段679地號,181.12,,特定農業區,甲種建築用地,1090211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2187570,12078,,0.0,0,,RPPNMLKLKHPFFAK08CA,0.0,0.0,0.0,,
大湖鄉,土地,南湖段1330-113地號,8295.0,,山坡地保育區,林業用地,1090120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,36,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLSKKHPFFAK78CA,0.0,0.0,0.0,,
卓蘭鎮,土地,新庄段246-2地號,421.75,農,,,1090121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5200000,12330,,0.0,0,,RPRNMLPLKHPFFAK78CA,0.0,0.0,0.0,,
公館鄉,土地,福基段637地號,1000.0,,山坡地保育區,農牧用地,1090203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,800,,0.0,0,,RPWNMLSKKHPFFBK96CA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗市玉華里12鄰玉清二街28號,93.0,,特定農業區,甲種建築用地,1090103,土地1建物1車位0,全,二層,透天厝,,加強磚造,,112.0,3,1,2,有,無,3550000,31696,,0.0,0,,RPQNMLKLKHPFFBK28CA,92.0,0.0,20.0,,
苗栗市,土地,勝利段1010-8地號,12.0,住,,,1081219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,476400,39700,,0.0,0,,RPTOMLTKKHPFFBK86CA,0.0,0.0,0.0,,
苗栗市,土地,勝利段1010-5地號,4.0,住,,,1081219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,158800,39700,,0.0,0,,RPUOMLTKKHPFFBK96CA,0.0,0.0,0.0,,
頭屋鄉,土地,孔聖段339地號,38.99,工,,,1090121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,70000,1795,,0.0,0,,RPSNMLTKKHPFFBK66CA,0.0,0.0,0.0,,
公館鄉,房地(土地+建物),苗栗縣公館鄉大坑村１０鄰大坑２１２之５號,2762.0,,山坡地保育區,林業用地,1090112,土地4建物1車位0,一層，二層,,農舍,農舍,鋼筋混凝土造,0870103,187.09,3,2,2,有,無,12700000,,,0.0,0,,RPWNMLTKKHPFFBK07CA,180.73,0.0,6.36,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市維新里１９鄰新東街３７３號三樓之一,39.81,,鄉村區,乙種建築用地,1081113,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080119,128.70999999999998,3,2,2,有,有,6100000,47393,一樓平面,0.0,0,,RPOOMLTKKHPFFBK98CA,84.66,0.0,7.08,,
苗栗市,土地,恭敬段2213地號,72.0,,山坡地保育區,丙種建築用地,1090121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,8333,,0.0,0,含增建或未登記建物。；,RPPNMLQLKHPFFBK78CA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗市文山里８鄰文發路１５７巷３２號,123.76,住,,,1090113,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080325,211.38,5,2,3,有,無,9700000,45889,,0.0,0,,RPRNMLNJLHPFFBK58CA,195.92,0.0,15.46,,
卓蘭鎮,土地,明德段935-2地號,160.65,,,,1090203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,243000,1513,,0.0,0,,RPTNMLPLKHPFFAK98CA,0.0,0.0,0.0,,
大湖鄉,土地,南湖段1330-671地號,10242.0,,山坡地保育區,農牧用地,1090120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,29,,0.0,0,,RPPNMLTKKHPFFAK88CA,0.0,0.0,0.0,,
泰安鄉,土地,麻必浩段1133地號,207.0,,山坡地保育區,農牧用地,1090110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1449,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLQKLHPFFAK78CA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗市忠孝路24號8樓之9,17.27,住,,,1090108,土地1建物1車位0,八層,,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790215,79.8,1,1,1,有,無,900000,11278,,0.0,0,,RPWNMLNJLHPFFBK09CA,58.16,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗市高苗里３７鄰三山１７７號,185.0,,山坡地保育區,丙種建築用地,1081226,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040127,257.27,4,2,2,有,無,8300000,32262,,0.0,0,,RPSNMLOJLHPFFBK78CA,235.95,0.0,21.32,,
苗栗市,土地,苗栗段1510地號,119.0,住,,,1090119,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9750000,81933,,0.0,0,,RPQNMLLKLHPFFBK38CA,0.0,0.0,0.0,,
苑裡鎮,土地,泰田段146地號,444.0,,特定農業區,農牧用地,1090109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1549560,3490,,0.0,0,向政府機關承購之案件。；,RPRNMLKLKHPFFCK48CA,0.0,0.0,0.0,,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮西勢里１０鄰忠義街５之２號,24.22,住,,,1090119,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840330,123.22,2,2,1,有,無,3000000,24347,,0.0,0,含增建或未登記建物。；,RPSNMLKLKHPFFCK58CA,96.22,0.0,0.0,,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮水坡里４鄰水坡３３之５號,331.0,,山坡地保育區,農牧用地,1090103,土地1建物1車位0,全,二層,透天厝,農舍,鋼筋混凝土造,0860122,232.4,4,3,2,有,無,5200000,22375,,0.0,0,含增建或未登記建物。；,RPTNMLKLKHPFFCK68CA,232.4,0.0,0.0,,
通霄鎮,土地,內湖西段130-1地號,1636.84,,山坡地保育區,農牧用地,1090206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,916,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLTKKHPFFCK66CA,0.0,0.0,0.0,,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里２鄰科專三路１２２巷１０號,97.34,住,,,1090103,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040429,187.19,4,2,3,有,無,9800000,52353,,0.0,0,,RPUNMLPLKHPFFDK76CA,165.05,4.5,17.64,,
竹南鎮,土地,新崎頂段1426地號,1157.25,,一般農業區,農牧用地,1081124,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5250000,4537,,0.0,0,,RPTNMLTKKHPFFDK96CA,0.0,0.0,0.0,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里2鄰科專三路31號3樓之5,45.0,住,,,1081209,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050422,162.71,3,2,2,有,有,7380000,45357,其他,26.44,0,,RPQNMLQJLHPFFDK98CA,91.58,0.0,8.42,,
後龍鎮,土地,龍東段877-3地號,198.21,其他,,,1071229,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,2018,,0.0,0,包含公共設施保留地之交易。；,RPSNMLTJLHPFFDK86CA,0.0,0.0,0.0,,
三灣鄉,土地,大坪林段287-20地號,332.8,,山坡地保育區,丙種建築用地,1090114,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,6010,,0.0,0,,RPPNMLKLKHPFFFK58CA,0.0,0.0,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份市頭份里１２鄰中山路２６７號,94.29,住,,,1090205,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070705,229.91,3,3,4,有,無,16000000,69592,,0.0,0,,RPSNMLTKKHPFFFK07CA,196.72,1.18,32.01,,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市興隆里5鄰花園東路158號七樓,56.21,,山坡地保育區,丙種建築用地,1081219,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051222,158.31,3,2,2,有,有,4950000,31268,坡道平面,0.0,0,,RPTNMLTKKHPFFFK17CA,84.38,0.0,10.09,,
