鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮平和街149號,61.0,住,,,1090309,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0780707,121.74,3,3,3,有,無,無,16000,131,,0.0,0,,RPPNMLLMLHPFFHN96CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮中正路175號,117.56,住,,,1090406,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0781208,73.33,0,0,0,無,無,無,13000,177,,0.0,0,,RPTNMLQJMHPFFCN17CC
彰化市,建物,彰化縣彰化市中山路一段４０５巷９號十五樓,0.0,住,,,1090318,土地0建物1車位0,十五層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840715,54.72,1,1,1,有,有,有,7000,128,,0.0,0,,RPUOMLQJMHPFFAN17CC
員林市,建物,彰化縣員林市大同路一段49號一樓,76.64,住,,,1090404,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0991013,224.24,0,1,1,有,無,無,12000,54,,0.0,0,,RPPOMLSJMHPFFDN17CC
彰化市,建物,彰化縣彰化市曉陽路３３６號四樓,0.0,住,,,1090327,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721026,90.87,2,1,1,有,無,有,10000,110,,0.0,0,,RPUNMLKKMHPFFAN56CC
彰化市,建物,彰化縣彰化市曉陽路１０３號,0.0,住,,,1090328,土地0建物0車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0870610,69.51,0,1,1,有,有,有,19000,273,,0.0,0,部分承租。,RPXNMLKKMHPFFAN86CC
秀水鄉,土地,埔崙段673地號,4958.0,農,,,1090412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,30000,6,,0.0,0,,RPVNMLNKMHPFFAN96CC
彰化市,建物,彰化縣彰化市曉陽路１０３號,0.0,住,,,1090328,土地0建物0車位0,二層,14,店面(店鋪),住商用,鋼筋混凝土造,0870610,74.3,0,1,1,有,有,有,12000,162,,0.0,0,部分承租。,RPPOMLNKMHPFFAN09CC
彰化市,建物,彰化縣彰化市金馬路二段２８３號,0.0,住,,,1090330,土地1建物0車位0,全,5,透天厝,人行道、店舖、住宅、裝飾牆,鋼筋混凝土造,1040209,343.18,5,3,6,有,無,無,45000,131,,0.0,0,一樓營業，二樓以上住家使用。,RPPPMLPKMHPFFAN76CC
秀水鄉,土地,新東興段607地號,162.5,住,,,1090411,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,有,無,35000,215,,0.0,0,含增建或未登記建物。；無保存登記房屋1棟,RPSPMLKLMHPFFAN66CC
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿東路14號,81.21,住,,,1090419,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0681019,160.36,0,0,0,無,無,無,30000,187,,0.0,0,,RPTNMLKLMHPFFCN76CC
彰化市,土地,牛稠子段山腳小段66-17地號,146.0,,鄉村區,乙種建築用地,1090401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,137,,0.0,0,,RPTNMLRLMHPFFAN27CC
埤頭鄉,土地,豐崙段623地號,1230.0,,特定農業區,農牧用地,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,40000,33,,0.0,0,建物未保存登記廠房面積約528平方公尺,RPTNMLSLMHPFFFN97DC
彰化市,建物,彰化縣彰化市忠勢街６６號,0.0,住,,,1090415,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0700525,214.62,4,3,3,有,無,無,16000,75,,0.0,0,,RPTOMLTLMHPFFAN57CC
福興鄉,土地,三元段213地號,32.2,,鄉村區,乙種建築用地,1090420,土地2建物0車位0,,,其他,,,,0.0,2,0,0,有,無,無,6000,186,,0.0,0,含增建或未登記建物。；土地持分未辦保存登記之三合院護龍出租,RPTNMLKMMHPFFCN86CC
彰化市,建物,彰化縣彰化市大智路１１之４號,0.0,住,,,1090415,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701015,67.59,3,2,2,有,無,有,7500,111,,0.0,0,,RPSNMLOJNHPFFAN76CC
北斗鎮,建物,彰化縣北斗鎮大新路243號,0.0,,特定農業區,甲種建築用地,1090408,土地0建物1車位0,,1,倉庫,住工用,見其他登記事項,0800328,122.05,0,0,0,無,無,無,18000,,,0.0,0,,RPOOMLPJNHPFFFN07CC
北斗鎮,土地,大新段746地號,576.99,,特定農業區,農牧用地,1090408,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,31,,0.0,0,,RPPOMLPJNHPFFFN17CC
永靖鄉,房地(土地+建物),彰化縣永靖鄉西門路122號,79.65,住,,,1090410,土地1建物1車位0,一層,2,店面(店鋪),住商用,加強磚造,0680512,79.65,0,0,0,無,無,無,12000,151,,0.0,0,只出租1f前面至廁所不含增建部份廚房。,RPQNMLQJNHPFFDN07CC
永靖鄉,房地(土地+建物),彰化縣永靖鄉西門路121號,140.25,住,,,1090422,土地1建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1081118,83.32,1,1,1,有,無,無,18000,216,,0.0,0,,RPSNMLQJNHPFFDN27CC
