編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLMJNHMFFBH98CC,39,85.32,住家用,加強磚造,67年8月18日,二層,
RPSPMLMJNHMFFBH58CC,19,70.02,住家用,鋼筋混凝土造,87年8月4日,十五層,
RPTNMLMJNHMFFBH48CC,8,64.05,住商用,鋼筋混凝土造,98年4月15日,十四層,
RPPQMLMJNHMFFBH38CC,20,33.66,住家用,鋼筋混凝土造,86年10月13日,十八層,
RPPQMLMJNHMFFBH38CC,20,11.34,共有部份,鋼筋混凝土造,86年10月13日,十八層,
RPPQMLMJNHMFFBH38CC,20,6.00,共有部份,鋼筋混凝土造,86年10月13日,十八層,
RPUPMLMJNHMFFBH78CC,27,110.90,住家用,鋼筋混凝土造,79年10月17日,八層,
RPUPMLMJNHMFFBH78CC,27,19.91,住家用,鋼筋混凝土造,79年10月17日,八層,
RPTNMLMJNHMFFGH98CC,12,234.14,停車空間、住宅、樓梯間,鋼筋混凝土造,94年4月7日,四層,
RPTNMLMJNHMFFGH98CC,12,23.91,共有部份,鋼筋混凝土造,94年4月7日,四層,
RPPOMLMJNHMFFGH68CC,2,130.63,住家用,鋼筋混凝土造,104年9月30日,二十層,
RPPOMLMJNHMFFGH68CC,2,20.58,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPOOMLMJNHMFFEH48DC,3,59.28,住家用,鋼筋混凝土造,103年3月7日,十層,
RPPOMLMJNHMFFGH68CC,2,38.94,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPPOMLMJNHMFFGH68CC,2,41.90,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPQQMLMJNHMFFBH48CC,16,35.16,住家用,鋼筋混凝土造,90年8月30日,二十二層,
RPQQMLMJNHMFFBH48CC,16,1.21,共有部份,鋼筋混凝土造,90年8月30日,二十二層,
RPQQMLMJNHMFFBH48CC,16,8.45,共有部份,鋼筋混凝土造,90年8月30日,二十二層,
RPQQMLMJNHMFFBH48CC,16,.95,共有部份,鋼筋混凝土造,90年8月30日,二十二層,
RPRNMLMJNHMFFFH88EC,21,73.96,住家用,鋼筋混凝土造,84年12月1日,十五層,
RPRNMLMJNHMFFFH88EC,21,24.82,共有部份,鋼筋混凝土造,84年12月1日,十五層,
RPTNMLNJNHMFFGH56DC,2,59.57,住家用,鋼筋混凝土造,104年10月6日,十五層,
RPSNMLNJNHMFFBH58DC,26,272.76,商業用,鋼筋混凝土造,80年7月29日,十四層,
RPRNMLNJNHMFFGH98DC,37,63.05,住家用,加強磚造,69年1月14日,二層,
RPQPMLNJNHMFFAH48DC,2,117.89,住家用,鋼筋混凝土造,103年12月11日,十層,
RPUNMLNJNHMFFGH66DC,2,81.35,住家用,鋼筋混凝土造,104年4月16日,十四層,
RPQQMLNJNHMFFAH58DC,16,59.57,住家用,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,2.12,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPQQMLNJNHMFFAH58DC,16,11.64,共有部份,鋼筋混凝土造,90年6月20日,九層,
